FromId:START_ID;ToId:END_ID;RelationLabel:TYPE;RelationType;Arguments
1;2;"AST_parentOf";"body";{"arg":0}
1;8;"AST_parentOf";"body";{"arg":1}
1;19;"AST_parentOf";"body";{"arg":2}
1;24;"AST_parentOf";"body";{"arg":3}
1;31;"AST_parentOf";"body";{"arg":4}
1;38;"AST_parentOf";"body";{"arg":5}
2;3;"AST_parentOf";"declarations";{"arg":0}
3;4;"AST_parentOf";"id";{"kwarg":"express"}
3;5;"AST_parentOf";"init";{}
5;6;"AST_parentOf";"callee";{"kwarg":"require"}
5;7;"AST_parentOf";"arguments";{"arg":0}
8;9;"AST_parentOf";"id";{"kwarg":"createUser"}
8;10;"AST_parentOf";"params";{"arg":0}
8;11;"AST_parentOf";"params";{"arg":1}
8;12;"AST_parentOf";"body";{}
12;13;"AST_parentOf";"body";{"arg":0}
13;14;"AST_parentOf";"expression";{}
14;15;"AST_parentOf";"callee";{}
14;18;"AST_parentOf";"arguments";{"arg":0}
15;16;"AST_parentOf";"object";{"kwarg":"users"}
15;17;"AST_parentOf";"property";{"kwarg":"find"}
19;20;"AST_parentOf";"declarations";{"arg":0}
20;21;"AST_parentOf";"id";{"kwarg":"app"}
20;22;"AST_parentOf";"init";{}
22;23;"AST_parentOf";"callee";{"kwarg":"express"}
24;25;"AST_parentOf";"declarations";{"arg":0}
25;26;"AST_parentOf";"id";{"kwarg":"router"}
25;27;"AST_parentOf";"init";{}
27;28;"AST_parentOf";"callee";{}
28;29;"AST_parentOf";"object";{"kwarg":"express"}
28;30;"AST_parentOf";"property";{"kwarg":"Router"}
31;32;"AST_parentOf";"expression";{}
32;33;"AST_parentOf";"callee";{}
32;36;"AST_parentOf";"arguments";{"arg":0}
32;37;"AST_parentOf";"arguments";{"arg":1}
33;34;"AST_parentOf";"object";{"kwarg":"router"}
33;35;"AST_parentOf";"property";{"kwarg":"post"}
38;39;"AST_parentOf";"expression";{}
39;40;"AST_parentOf";"callee";{}
39;43;"AST_parentOf";"arguments";{"arg":0}
39;44;"AST_parentOf";"arguments";{"arg":1}
40;41;"AST_parentOf";"object";{"kwarg":"app"}
40;42;"AST_parentOf";"property";{"kwarg":"use"}
1;2;"CFG_parentOf";"Epsilon";"normal"
2;19;"CFG_parentOf";"Epsilon";"normal"
19;24;"CFG_parentOf";"Epsilon";"normal"
24;31;"CFG_parentOf";"Epsilon";"normal"
31;38;"CFG_parentOf";"Epsilon";"normal"
38;45;"CFG_parentOf";"Epsilon";"exit"
2;19;"PDG_parentOf";"DataFlow";"express"
2;24;"PDG_parentOf";"DataFlow";"express"
19;38;"PDG_parentOf";"DataFlow";"app"
24;31;"PDG_parentOf";"DataFlow";"router"
24;38;"PDG_parentOf";"DataFlow";"router"
12;13;"CFG_parentOf";"Epsilon";"normal"
13;46;"CFG_parentOf";"Epsilon";"exit"
