Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":241,"column":1}}¿¿Program
1¿VariableDeclarator¿¿argv¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":8}}¿¿VariableDeclarator
2¿VariableDeclarator¿¿yargs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":28}}¿¿VariableDeclarator
3¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":28}}¿¿CallExpression
4¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19}}¿¿Identifier
5¿Literal¿string¿¿'yargs'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27}}¿¿Literal
6¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22}}¿¿VariableDeclarator
7¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22}}¿¿CallExpression
8¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16}}¿¿Identifier
9¿Literal¿string¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21}}¿¿Literal
10¿VariableDeclarator¿¿art¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":33}}¿¿VariableDeclarator
11¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":33}}¿¿CallExpression
12¿Identifier¿¿require¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":17}}¿¿Identifier
13¿Literal¿string¿¿'../ascii-art'¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":32}}¿¿Literal
14¿VariableDeclarator¿¿v1¿¿¿¿¿VariableDeclarator
15¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":53}}¿¿CallExpression
16¿MemberExpression¿¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":11}}¿¿MemberExpression
17¿Identifier¿¿yargs¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":5}}¿¿Identifier
18¿Identifier¿¿usage¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":11}}¿¿Identifier
19¿Literal¿string¿¿'Usage: $0 <command> [options] <target>'¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":52}}¿¿Literal
20¿ExpressionStatement¿¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":53}}¿¿ExpressionStatement
21¿Identifier¿¿v1¿¿¿¿¿Identifier
22¿VariableDeclarator¿¿v2¿¿¿¿¿VariableDeclarator
23¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":51}}¿¿CallExpression
24¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13}}¿¿MemberExpression
25¿Identifier¿¿yargs¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":5}}¿¿Identifier
26¿Identifier¿¿command¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":13}}¿¿Identifier
27¿Literal¿string¿¿'image'¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21}}¿¿Literal
28¿Literal¿string¿¿'convert an image to ascii'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":50}}¿¿Literal
29¿VariableDeclarator¿¿v3¿¿¿¿¿VariableDeclarator
30¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":60}}¿¿CallExpression
31¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":12}}¿¿MemberExpression
32¿Identifier¿¿v2¿¿¿¿¿Identifier
33¿Identifier¿¿command¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":12}}¿¿Identifier
34¿Literal¿string¿¿'art'¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":18}}¿¿Literal
35¿Literal¿string¿¿'get some ascii art from various sites'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":59}}¿¿Literal
36¿VariableDeclarator¿¿v4¿¿¿¿¿VariableDeclarator
37¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":64}}¿¿CallExpression
38¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":12}}¿¿MemberExpression
39¿Identifier¿¿v3¿¿¿¿¿Identifier
40¿Identifier¿¿command¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":12}}¿¿Identifier
41¿Literal¿string¿¿'text'¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":19}}¿¿Literal
42¿Literal¿string¿¿'add styles and/or font rendering to text'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":63}}¿¿Literal
43¿VariableDeclarator¿¿v5¿¿¿¿¿VariableDeclarator
44¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":14}}¿¿CallExpression
45¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":11}}¿¿MemberExpression
46¿Identifier¿¿v4¿¿¿¿¿Identifier
47¿Identifier¿¿demand¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":11}}¿¿Identifier
48¿Literal¿number¿¿2¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":13}}¿¿Literal
49¿VariableDeclarator¿¿v6¿¿¿¿¿VariableDeclarator
50¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":109}}¿¿CallExpression
51¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":12}}¿¿MemberExpression
52¿Identifier¿¿v5¿¿¿¿¿Identifier
53¿Identifier¿¿example¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12}}¿¿Identifier
54¿Literal¿string¿¿'$0 art textfiles.com/spock.art '¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":46}}¿¿Literal
55¿Literal¿string¿¿'request the file 'spock.art' remotely from 'textfiles.com''¿¿{"start":{"line":11,"column":48},"end":{"line":11,"column":108}}¿¿Literal
56¿VariableDeclarator¿¿v7¿¿¿¿¿VariableDeclarator
57¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":61}}¿¿CallExpression
58¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":12}}¿¿MemberExpression
59¿Identifier¿¿v6¿¿¿¿¿Identifier
60¿Identifier¿¿example¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":12}}¿¿Identifier
61¿Literal¿string¿¿'$0 install Font.flf '¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":35}}¿¿Literal
62¿Literal¿string¿¿'install a figlet font'¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":60}}¿¿Literal
63¿VariableDeclarator¿¿v8¿¿¿¿¿VariableDeclarator
64¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":89}}¿¿CallExpression
65¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":12}}¿¿MemberExpression
66¿Identifier¿¿v7¿¿¿¿¿Identifier
67¿Identifier¿¿example¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":12}}¿¿Identifier
68¿Literal¿string¿¿'$0 image foo.jpg '¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":32}}¿¿Literal
69¿Literal¿string¿¿'output foo.jpg as inline ascii text with ansi colors'¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":88}}¿¿Literal
70¿VariableDeclarator¿¿v9¿¿¿¿¿VariableDeclarator
71¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":87}}¿¿CallExpression
72¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":12}}¿¿MemberExpression
73¿Identifier¿¿v8¿¿¿¿¿Identifier
74¿Identifier¿¿example¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":12}}¿¿Identifier
75¿Literal¿string¿¿'$0 text -F Doom 'Some Titles''¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":44}}¿¿Literal
76¿Literal¿string¿¿'outputs 'Some Titles' in the Doom font'¿¿{"start":{"line":14,"column":46},"end":{"line":14,"column":86}}¿¿Literal
77¿VariableDeclarator¿¿v10¿¿¿¿¿VariableDeclarator
78¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":120}}¿¿CallExpression
79¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":12}}¿¿MemberExpression
80¿Identifier¿¿v9¿¿¿¿¿Identifier
81¿Identifier¿¿example¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":12}}¿¿Identifier
82¿Literal¿string¿¿'$0 text -s red+underline 'Some Titles''¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":53}}¿¿Literal
83¿Literal¿string¿¿'outputs 'Some Titles' with a red and underlined terminal style'¿¿{"start":{"line":15,"column":55},"end":{"line":15,"column":119}}¿¿Literal
