package, vulnerable_file_path, norm_file, graph_construction, detection
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/pullAt.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/pullAt.js.norm, A, 2
minimist-1.2.8.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/minimist-1.2.8.tgz/test/dotted.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/minimist-1.2.8.tgz/tool_outputs/explodejs/dotted.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_nodeUtil.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_nodeUtil.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/some.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/some.js.norm, A, 1
prop-types-15.8.1.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/prop-types-15.8.1.tgz/checkPropTypes.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/prop-types-15.8.1.tgz/tool_outputs/explodejs/checkPropTypes.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_copyArray.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_copyArray.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/sortedLastIndexBy.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/sortedLastIndexBy.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/zipWith.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/zipWith.js.norm, A, 1
debug-4.3.4.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/debug-4.3.4.tgz/src/common.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/debug-4.3.4.tgz/tool_outputs/explodejs/common.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseSet.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseSet.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/lte.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/lte.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/toPath.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/toPath.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_DataView.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_DataView.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseFlatten.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseFlatten.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseIsSet.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseIsSet.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseEach.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseEach.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/stubFalse.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/stubFalse.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_cacheHas.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_cacheHas.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_arrayPush.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_arrayPush.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/assignInAll.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/assignInAll.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/minBy.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/minBy.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/sum.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/sum.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/isArrayLikeObject.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/isArrayLikeObject.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_asciiWords.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_asciiWords.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/isNumber.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/isNumber.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/update.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/update.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_apply.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_apply.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_memoizeCapped.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_memoizeCapped.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/rest.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/rest.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/unionWith.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/unionWith.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/toIterator.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/toIterator.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/random.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/random.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/mergeAllWith.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/mergeAllWith.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/first.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/first.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/flatMapDeep.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/flatMapDeep.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/toInteger.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/toInteger.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_arrayFilter.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_arrayFilter.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseFill.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseFill.js.norm, C, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/partition.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/partition.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseNth.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseNth.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/merge.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/merge.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/sortedLastIndexBy.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/sortedLastIndexBy.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/minBy.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/minBy.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/toPath.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/toPath.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/fp/toIterator.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/toIterator.js.norm, A, 1
