package, vulnerable_file_path, norm_file, graph_construction, detection
minimist-1.2.8.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/minimist-1.2.8.tgz/index.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/minimist-1.2.8.tgz/tool_outputs/explodejs/index.js.norm, C, 3
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/_baseIsArguments.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/_baseIsArguments.js.norm, A, 3
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/unionWith.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/unionWith.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/pull.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/pull.js.norm, A, 1
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/first.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/first.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/isLength.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/isLength.js.norm, A, 2
lodash-4.17.21.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/uniqBy.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/lodash-4.17.21.tgz/tool_outputs/explodejs/uniqBy.js.norm, A, 2
request-2.88.2.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/request-2.88.2.tgz/lib/tunnel.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/request-2.88.2.tgz/tool_outputs/explodejs/tunnel.js.norm, C, 2
minimist-1.2.8.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/minimist-1.2.8.tgz/test/whitespace.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/minimist-1.2.8.tgz/tool_outputs/explodejs/whitespace.js.norm, A, 1
loose-envify-1.4.0.tgz, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/loose-envify-1.4.0.tgz/replace.js, /home/tiago/Documents/IST/phd/phd-research/js-cpg/datasets/package-dataset/packages-src/loose-envify-1.4.0.tgz/tool_outputs/explodejs/replace.js.norm, C, 2
