FromId:START_ID;ToId:END_ID;RelationLabel:TYPE;RelationType;Arguments
1;2;"AST_parentOf";"body";{"arg":0}
2;3;"AST_parentOf";"id";{"kwarg":"search"}
2;4;"AST_parentOf";"params";{"arg":0}
2;5;"AST_parentOf";"body";{}
5;6;"AST_parentOf";"body";{"arg":0}
5;12;"AST_parentOf";"body";{"arg":1}
5;17;"AST_parentOf";"body";{"arg":2}
5;23;"AST_parentOf";"body";{"arg":3}
5;29;"AST_parentOf";"body";{"arg":4}
5;50;"AST_parentOf";"body";{"arg":5}
5;56;"AST_parentOf";"body";{"arg":6}
5;62;"AST_parentOf";"body";{"arg":7}
6;7;"AST_parentOf";"declarations";{"arg":0}
7;8;"AST_parentOf";"id";{"kwarg":"v1"}
7;9;"AST_parentOf";"init";{}
9;10;"AST_parentOf";"object";{"kwarg":"opts"}
9;11;"AST_parentOf";"property";{"kwarg":"filter"}
12;13;"AST_parentOf";"declarations";{"arg":0}
13;14;"AST_parentOf";"id";{"kwarg":"v2"}
13;15;"AST_parentOf";"init";{}
15;16;"AST_parentOf";"argument";{"kwarg":"v1"}
17;18;"AST_parentOf";"declarations";{"arg":0}
18;19;"AST_parentOf";"id";{"kwarg":"v3"}
18;20;"AST_parentOf";"init";{}
20;21;"AST_parentOf";"object";{"kwarg":"opts"}
20;22;"AST_parentOf";"property";{"kwarg":"collection"}
23;24;"AST_parentOf";"declarations";{"arg":0}
24;25;"AST_parentOf";"id";{"kwarg":"v4"}
24;26;"AST_parentOf";"init";{}
26;27;"AST_parentOf";"left";{"kwarg":"v2"}
26;28;"AST_parentOf";"right";{"kwarg":"v3"}
29;30;"AST_parentOf";"test";{"kwarg":"v4"}
29;31;"AST_parentOf";"consequent";{}
31;32;"AST_parentOf";"body";{"arg":0}
31;38;"AST_parentOf";"body";{"arg":1}
31;44;"AST_parentOf";"body";{"arg":2}
32;33;"AST_parentOf";"declarations";{"arg":0}
33;34;"AST_parentOf";"id";{"kwarg":"v5"}
33;35;"AST_parentOf";"init";{}
35;36;"AST_parentOf";"object";{"kwarg":"opts"}
35;37;"AST_parentOf";"property";{"kwarg":"collection"}
38;39;"AST_parentOf";"declarations";{"arg":0}
39;40;"AST_parentOf";"id";{"kwarg":"v6"}
39;41;"AST_parentOf";"init";{}
41;42;"AST_parentOf";"left";{"kwarg":"..."}
41;43;"AST_parentOf";"right";{"kwarg":"v5"}
44;45;"AST_parentOf";"expression";{}
45;46;"AST_parentOf";"left";{}
45;49;"AST_parentOf";"right";{"kwarg":"v6"}
46;47;"AST_parentOf";"object";{"kwarg":"opts"}
46;48;"AST_parentOf";"property";{"kwarg":"filter"}
50;51;"AST_parentOf";"declarations";{"arg":0}
51;52;"AST_parentOf";"id";{"kwarg":"v7"}
51;53;"AST_parentOf";"init";{}
53;54;"AST_parentOf";"object";{"kwarg":"opts"}
53;55;"AST_parentOf";"property";{"kwarg":"filter"}
56;57;"AST_parentOf";"declarations";{"arg":0}
57;58;"AST_parentOf";"id";{"kwarg":"v8"}
57;59;"AST_parentOf";"init";{}
59;60;"AST_parentOf";"callee";{"kwarg":"eval"}
59;61;"AST_parentOf";"arguments";{"arg":0}
62;63;"AST_parentOf";"expression";{"kwarg":"v8"}
1;64;"CFG_parentOf";"Epsilon";"exit"
5;6;"CFG_parentOf";"Epsilon";"normal"
6;12;"CFG_parentOf";"Epsilon";"normal"
12;17;"CFG_parentOf";"Epsilon";"normal"
17;23;"CFG_parentOf";"Epsilon";"normal"
23;30;"CFG_parentOf";"Epsilon";"normal"
30;32;"CFG_parentOf";"Cond_True";"normal"
30;50;"CFG_parentOf";"Cond_False";"normal"
32;38;"CFG_parentOf";"Epsilon";"normal"
38;44;"CFG_parentOf";"Epsilon";"normal"
44;50;"CFG_parentOf";"Epsilon";"normal"
50;56;"CFG_parentOf";"Epsilon";"normal"
56;62;"CFG_parentOf";"Epsilon";"normal"
62;65;"CFG_parentOf";"Epsilon";"exit"
5;6;"PDG_parentOf";"DataFlow";"opts"
5;17;"PDG_parentOf";"DataFlow";"opts"
5;32;"PDG_parentOf";"DataFlow";"opts"
5;50;"PDG_parentOf";"DataFlow";"opts"
44;50;"PDG_parentOf";"DataFlow";"opts"
5;12;"PDG_parentOf";"DataFlow";"v1"
6;12;"PDG_parentOf";"DataFlow";"v1"
5;23;"PDG_parentOf";"DataFlow";"v2"
12;23;"PDG_parentOf";"DataFlow";"v2"
5;23;"PDG_parentOf";"DataFlow";"v3"
17;23;"PDG_parentOf";"DataFlow";"v3"
5;38;"PDG_parentOf";"DataFlow";"v5"
32;38;"PDG_parentOf";"DataFlow";"v5"
5;44;"PDG_parentOf";"DataFlow";"v6"
38;44;"PDG_parentOf";"DataFlow";"v6"
5;56;"PDG_parentOf";"DataFlow";"v7"
50;56;"PDG_parentOf";"DataFlow";"v7"
