Id:ID;Type;Kind;Code;Range;Location;Value;Raw;Async;Label:LABEL;SemanticType
64;exit;;;;;;;;ASTNode;
65;exit;;;;;;;;ASTNode;
1;Program;;;[141,429];{start:{line:2,column:0},end:{line:15,column:1}};;;;ASTNode;
2;FunctionDeclaration;;;[141,429];{start:{line:2,column:0},end:{line:15,column:1}};;;false;ASTNode;
3;Identifier;;search;[150,156];{start:{line:2,column:9},end:{line:2,column:15}};;;;ASTNode;
4;Identifier;;opts;[157,161];{start:{line:2,column:16},end:{line:2,column:20}};;;;ASTNode;
5;BlockStatement;;;[163,429];{start:{line:2,column:22},end:{line:15,column:1}};;;;ASTNode;
6;VariableDeclaration;let;;[169,190];{start:{line:3,column:4},end:{line:3,column:25}};;;;ASTNode;
7;VariableDeclarator;;=;[173,189];{start:{line:3,column:8},end:{line:3,column:24}};;;;ASTNode;
8;Identifier;;v1;[173,175];{start:{line:3,column:8},end:{line:3,column:10}};;;;ASTNode;
9;MemberExpression;;;[178,189];{start:{line:3,column:13},end:{line:3,column:24}};;;;ASTNode;
10;Identifier;;opts;[178,182];{start:{line:3,column:13},end:{line:3,column:17}};;;;ASTNode;
11;Identifier;;filter;[183,189];{start:{line:3,column:18},end:{line:3,column:24}};;;;ASTNode;
12;VariableDeclaration;let;;[195,208];{start:{line:4,column:4},end:{line:4,column:17}};;;;ASTNode;
13;VariableDeclarator;;=;[199,207];{start:{line:4,column:8},end:{line:4,column:16}};;;;ASTNode;
14;Identifier;;v2;[199,201];{start:{line:4,column:8},end:{line:4,column:10}};;;;ASTNode;
15;UnaryExpression;;!;[204,207];{start:{line:4,column:13},end:{line:4,column:16}};;;;ASTNode;
16;Identifier;;v1;[205,207];{start:{line:4,column:14},end:{line:4,column:16}};;;;ASTNode;
17;VariableDeclaration;let;;[213,238];{start:{line:5,column:4},end:{line:5,column:29}};;;;ASTNode;
18;VariableDeclarator;;=;[217,237];{start:{line:5,column:8},end:{line:5,column:28}};;;;ASTNode;
19;Identifier;;v3;[217,219];{start:{line:5,column:8},end:{line:5,column:10}};;;;ASTNode;
20;MemberExpression;;;[222,237];{start:{line:5,column:13},end:{line:5,column:28}};;;;ASTNode;
21;Identifier;;opts;[222,226];{start:{line:5,column:13},end:{line:5,column:17}};;;;ASTNode;
22;Identifier;;collection;[227,237];{start:{line:5,column:18},end:{line:5,column:28}};;;;ASTNode;
23;VariableDeclaration;let;;[243,261];{start:{line:6,column:4},end:{line:6,column:22}};;;;ASTNode;
24;VariableDeclarator;;=;[247,260];{start:{line:6,column:8},end:{line:6,column:21}};;;;ASTNode;
25;Identifier;;v4;[247,249];{start:{line:6,column:8},end:{line:6,column:10}};;;;ASTNode;
26;LogicalExpression;;&&;[252,260];{start:{line:6,column:13},end:{line:6,column:21}};;;;ASTNode;
27;Identifier;;v2;[252,254];{start:{line:6,column:13},end:{line:6,column:15}};;;;ASTNode;
28;Identifier;;v3;[258,260];{start:{line:6,column:19},end:{line:6,column:21}};;;;ASTNode;
29;IfStatement;;{type:Identifier,name:v4,range:[270,272],loc:{start:{line:7,column:8},end:{line:7,column:10}},_id:30};[266,370];{start:{line:7,column:4},end:{line:11,column:5}};;;;ASTNode;
30;Identifier;;v4;[270,272];{start:{line:7,column:8},end:{line:7,column:10}};;;;ASTNode;
31;BlockStatement;;;[274,370];{start:{line:7,column:12},end:{line:11,column:5}};;;;ASTNode;
32;VariableDeclaration;let;;[284,309];{start:{line:8,column:8},end:{line:8,column:33}};;;;ASTNode;
33;VariableDeclarator;;=;[288,308];{start:{line:8,column:12},end:{line:8,column:32}};;;;ASTNode;
34;Identifier;;v5;[288,290];{start:{line:8,column:12},end:{line:8,column:14}};;;;ASTNode;
35;MemberExpression;;;[293,308];{start:{line:8,column:17},end:{line:8,column:32}};;;;ASTNode;
36;Identifier;;opts;[293,297];{start:{line:8,column:17},end:{line:8,column:21}};;;;ASTNode;
37;Identifier;;collection;[298,308];{start:{line:8,column:22},end:{line:8,column:32}};;;;ASTNode;
38;VariableDeclaration;let;;[318,338];{start:{line:9,column:8},end:{line:9,column:28}};;;;ASTNode;
39;VariableDeclarator;;=;[322,337];{start:{line:9,column:12},end:{line:9,column:27}};;;;ASTNode;
40;Identifier;;v6;[322,324];{start:{line:9,column:12},end:{line:9,column:14}};;;;ASTNode;
41;BinaryExpression;;+;[327,337];{start:{line:9,column:17},end:{line:9,column:27}};;;;ASTNode;
42;Literal;;;[327,332];{start:{line:9,column:17},end:{line:9,column:22}};...;'...';;ASTNode;
43;Identifier;;v5;[335,337];{start:{line:9,column:25},end:{line:9,column:27}};;;;ASTNode;
44;ExpressionStatement;;;[347,364];{start:{line:10,column:8},end:{line:10,column:25}};;;;ASTNode;
45;AssignmentExpression;;=;[347,363];{start:{line:10,column:8},end:{line:10,column:24}};;;;ASTNode;
46;MemberExpression;;;[347,358];{start:{line:10,column:8},end:{line:10,column:19}};;;;ASTNode;
47;Identifier;;opts;[347,351];{start:{line:10,column:8},end:{line:10,column:12}};;;;ASTNode;
48;Identifier;;filter;[352,358];{start:{line:10,column:13},end:{line:10,column:19}};;;;ASTNode;
49;Identifier;;v6;[361,363];{start:{line:10,column:22},end:{line:10,column:24}};;;;ASTNode;
50;VariableDeclaration;let;;[375,396];{start:{line:12,column:4},end:{line:12,column:25}};;;;ASTNode;
51;VariableDeclarator;;=;[379,395];{start:{line:12,column:8},end:{line:12,column:24}};;;;ASTNode;
52;Identifier;;v7;[379,381];{start:{line:12,column:8},end:{line:12,column:10}};;;;ASTNode;
53;MemberExpression;;;[384,395];{start:{line:12,column:13},end:{line:12,column:24}};;;;ASTNode;
54;Identifier;;opts;[384,388];{start:{line:12,column:13},end:{line:12,column:17}};;;;ASTNode;
55;Identifier;;filter;[389,395];{start:{line:12,column:18},end:{line:12,column:24}};;;;ASTNode;
56;VariableDeclaration;let;;[401,419];{start:{line:13,column:4},end:{line:13,column:22}};;;;ASTNode;
57;VariableDeclarator;;=;[405,418];{start:{line:13,column:8},end:{line:13,column:21}};;;;ASTNode;
58;Identifier;;v8;[405,407];{start:{line:13,column:8},end:{line:13,column:10}};;;;ASTNode;
